0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
AAP,ACGL,ADSK,ALK,APTV,ANSS,ABBV,AAPL,AES,ABC,AKAM,BMY,CBRE,ACN,ELV,CB,CME,CAT,A,ECL,BAC,FDS,AMT,EXR,J
ADI,ADM,AIG,AMCR,AVY,AXP,ATVI,AMZN,CHD,CCL,ALB,CI,CSGP,COO,GIS,EQR,EOG,HAL,ES,ICE,LYV,IDXX,GE,IP,MAA
ALGN,AEP,AJG,AMD,AWK,BIIB,CARR,CL,CSCO,CNC,BBY,CTVA,CTSH,EXC,HII,IFF,GNRC,IEX,LYB,OXY,PARA,PFG,PHM,GL,PKG
AEE,ANET,APA,AMP,AZO,BK,CCI,CMI,CVX,CLX,DLR,FANG,DUK,FOXA,AMAT,ILMN,KMB,LIN,NKE,PCG,PFE,PCAR,RCL,RF,PNC
BG,BAX,AVB,APH,BALL,BKR,CDNS,CMS,DD,DGX,ETN,CTLT,FOX,ED,HRL,INVH,MMM,MMC,NEE,PEAK,MAS,RMD,STZ,RTX,RJF
AME,BWA,BKNG,CAG,BXP,BSX,CF,COST,DE,DXC,ETSY,FDX,GILD,HBAN,K,ALLE,MO,COP,NTAP,ADP,PGR,BR,SWKS,SYY,TEL
ADBE,BRO,CBOE,AAL,CDAY,CEG,CHTR,CPB,DFS,EBAY,EVRG,FISV,HES,GD,KLAC,LKQ,MSFT,MU,OKE,PPG,PODD,SNPS,MA,TPR,TT
AVGO,CNP,CDW,CTAS,CMG,D,CSX,CPRT,DG,EMR,EW,CFG,HLT,BF-B,LDOS,LUV,LHX,NI,DIS,PSX,GPN,TSCO,VFC,TYL,UNP
AOS,BDX,CZR,EA,DLTR,DRI,DPZ,DVA,DHI,CVS,EXPE,FTNT,GRMN,HUM,IQV,MDLZ,HOLX,NUE,KMX,PYPL,ROK,TXN,VICI,VLO,VTR
AMGN,CMCSA,DXCM,EIX,ESS,EPAM,DAL,EQT,EL,ENPH,FAST,GEHC,HPE,INCY,LH,MHK,BIO,NVDA,OMC,RE,SEDG,ROP,VMC,WELL,WAB
ABT,C,EFX,DTE,EXPD,CHRW,FSLR,FITB,FIS,ETR,FICO,GLW,HSIC,FFIV,LMT,MKC,MTB,NWS,OTIS,PWR,SYK,TXT,VRSK,WFC,WRB
CAH,FLT,HIG,HD,GM,F,HCA,HAS,GEN,GWW,GS,GPC,HST,INTU,LRCX,MKTX,MTCH,ODFL,PEP,MS,TFC,UAL,VRSN,WHR,WY
BRK-B,DOW,FTV,IT,GOOG,ISRG,HWM,IRM,IR,IPG,BBWI,HSY,AON,DHR,MAR,MLM,ITW,OGN,DOV,SBAC,TMUS,UDR,VRTX,WM,WYNN
BA,FE,GOOGL,INTC,KDP,KIM,KEY,KR,KHC,KEYS,JNPR,JNJ,JCI,JPM,MCK,MOH,MTD,ON,PTC,SO,TRGP,UHS,VTRS,WMB,XRAY
CTRA,DVN,HPQ,JBHT,KO,CRM,LLY,CRL,LVS,MCHP,LEN,MGM,META,MDT,MCO,MPC,NCLH,ORLY,PXD,SPGI,TRMB,ULTA,VZ,WMT,XYL
COF,CPT,FCX,KMI,LNT,MCD,LOW,EQIX,LW,MRK,MRO,MOS,CMA,MRNA,MNST,MPWR,NDSN,PAYX,QCOM,SRE,TROW,UNH,WAT,WRK,YUM
AIZ,ATO,IBM,MET,MSCI,O,NWSA,AFL,NXPI,CINF,NTRS,NSC,NRG,NOW,NOC,NEM,NFLX,PG,REGN,STE,TRV,UPS,WBA,WST,ZBH
APD,BLK,JKHY,MSI,HON,ALL,PEG,PM,PSA,PPL,PNW,FRT,PAYC,PNR,NVR,PLD,ORCL,PKI,RL,STT,TSLA,URI,WBD,WTW,ZBRA
BEN,CE,L,NDAQ,NWL,PH,POOL,SLB,ARE,SHW,SEE,QRVO,SCHW,ROST,RHI,SBUX,SNA,PRU,SJM,STX,TSN,USB,WDC,XEL,ZION
IVZ,FMC,EMN,ROL,RSG,SPG,REG,STLD,TDY,TGT,TMO,TJX,TFX,TER,TECH,TDG,TAP,T,SYF,SWK,TTWO,V,WEC,XOM,ZTS
